,Price,Area,Location,bhk,GYM
0,6200000,400,Airoli,1,0
2,14900000,1245,Airoli,2,0
3,14000000,1183,Airoli,2,1
4,14800000,1245,Airoli,2,0
5,6400000,495,Airoli,1,0
7,7500000,600,Airoli,1,0
8,7500000,600,Airoli,1,0
9,7600000,650,Airoli,1,0
10,6500000,650,Airoli,1,0
11,9500000,780,Airoli,1,1
12,6600000,640,Airoli,1,0
13,7800000,660,Airoli,1,0
14,7800000,660,Airoli,1,0
15,5900000,666,Airoli,1,0
16,7000000,700,Airoli,1,0
17,7000000,680,Airoli,1,0
19,6100000,650,Airoli,1,0
20,7500000,675,Airoli,1,0
21,7000000,600,Airoli,1,0
23,8400000,660,Airoli,1,0
24,7300000,600,Airoli,1,0
25,3874000,730,Ambernath East,1,0
26,2225000,595,Ambernath East,1,0
31,2300000,650,Ambernath East,1,1
33,2800000,690,Ambernath East,1,1
34,3650000,725,Ambernath East,1,1
35,3100000,827,Ambernath East,1,1
36,2374000,634,Ambernath West,1,1
38,2836000,709,Ambernath West,1,0
39,3188000,797,Ambernath West,1,0
40,2520000,630,Ambernath West,1,0
41,2576000,644,Ambernath West,1,0
42,2836000,709,Ambernath West,1,0
43,2520000,630,Ambernath West,1,0
44,2576000,644,Ambernath West,1,0
45,3064000,766,Ambernath West,1,0
46,3188000,797,Ambernath West,1,0
47,18000000,1100,Andheri,2,1
48,14000000,1000,Andheri,2,1
49,30000000,1480,Andheri,3,0
50,17500000,650,Andheri,1,1
51,65300000,3025,Andheri,4,1
52,24000000,1000,Andheri,2,0
53,29400000,1450,Andheri,3,1
54,22200000,900,Andheri,3,0
55,15300000,1040,Andheri,2,1
60,16800000,922,Andheri East,2,1
61,17500000,1050,Andheri East,1,1
62,16500000,1020,Andheri East,1,1
66,14000000,650,Andheri East,2,0
67,11000000,620,Andheri East,1,1
69,31500000,1356,Andheri East,3,1
71,25000000,1356,Andheri East,2,0
73,13500000,750,Andheri East,2,0
74,13500000,750,Andheri East,2,1
