imagen, numeroROI, contadorObjetos, promedioRGB_R, promedioRGB_G, promedioRGB_B, desviacionRGB_R, desviacionRGB_G, desviacionRGB_B, promedioLAB_L, promedioLAB_A, promedioLAB_B, desviacionLAB_L, desviacionLAB_A, desviacionLAB_B, promedioHSV_H, promedioHSV_S, promedioHSV_V, desviacionHSV_H, desviacionHSV_S, desviacionHSV_V, sumaArea, perimetro, excentricidad, ejeMayor, ejeMenor, entropia, inercia, energia, x, y, w, h, clasificacion 
002.jpg,          1,          1,   214.3265,   214.6327,   187.6122,     2.2361,     2.2361,     2.2361,    85.0944,    -4.6895,    13.3908,     8.9032,     1.4691,     3.6738,     0.1677,     0.1314,     0.8432,     0.0096,     0.0435,     0.0970,         49,    25.5800,     0.7785,    10.2443,     6.4297,     0.0000,     0.0000,     0.0000,         81,         15,         10,          7, DEFECTOS 
002.jpg,          1,          2,   224.8929,   224.2857,   211.7500,     3.0000,     3.0000,     3.0000,    88.9106,    -1.9721,     6.2294,     9.3517,     0.5901,     1.3120,     0.1617,     0.0621,     0.8838,     0.0207,     0.0194,     0.1007,         28,    23.8020,     0.9093,    10.8739,     4.5261,     0.0000,     0.0000,     0.0000,         92,         17,         10,          5, DEFECTOS 
002.jpg,          1,          3,   219.6000,   222.6000,   203.6000,     7.0000,     7.0000,     7.1414,    87.9734,    -4.3215,     8.9658,     4.2839,     0.2934,     0.8667,     0.1932,     0.0855,     0.8729,     0.0025,     0.0082,     0.0473,          5,     5.6240,     0.0000,     2.7809,     2.7809,     0.0000,     0.0000,     0.0000,        158,         35,          3,          3, DEFECTOS 
002.jpg,          2,          1,   200.0769,   199.1538,   154.3077,     4.4721,     4.4721,     4.4721,    79.3017,    -6.9304,    22.6842,     7.0480,     1.5749,     4.6153,     0.1629,     0.2336,     0.7855,     0.0056,     0.0572,     0.0753,         13,    15.6560,     0.9136,     7.7333,     3.1453,     0.0000,     0.0000,     0.0000,         22,         73,          7,          4, DEFECTOS 
002.jpg,          2,          2,   205.7955,   207.3182,   175.3864,     2.4495,     2.4495,     2.4495,    82.2756,    -5.9079,    15.7934,     8.9672,     1.4817,     4.5396,     0.1754,     0.1587,     0.8130,     0.0070,     0.0556,     0.0964,         44,    29.7980,     0.7803,    10.8244,     6.7691,     0.0000,     0.0000,     0.0000,         57,          6,         11,          8, DEFECTOS 
002.jpg,          3,          1,   201.4615,   210.3846,   145.6923,     4.4721,     4.4721,     4.4721,    82.2401,   -13.3327,    31.0856,     6.3738,     1.7070,     4.1158,     0.1896,     0.3073,     0.8250,     0.0008,     0.0337,     0.0718,         13,    10.4040,     0.7102,     5.0330,     3.5432,     0.0000,     0.0000,     0.0000,         19,         53,          5,          4, DEFECTOS 
002.jpg,          3,          2,   220.0000,   224.4000,   188.2000,     7.1414,     7.1414,     7.1414,    88.1382,    -7.5561,    17.2718,     3.8734,     1.5063,     3.3099,     0.1866,     0.1623,     0.8800,     0.0019,     0.0348,     0.0417,          5,     5.6240,     0.0000,     2.7809,     2.7809,     0.0000,     0.0000,     0.0000,         30,         51,          3,          3, DEFECTOS 
002.jpg,          3,          3,   213.5600,   216.7360,   193.1680,     1.4142,     1.4142,     1.4142,    85.7436,    -5.1088,    11.3165,     7.4022,     2.6098,     6.2542,     0.1956,     0.1132,     0.8512,     0.0297,     0.0649,     0.0796,        125,    42.4180,     0.8074,    16.6316,     9.8119,     0.0000,     0.0000,     0.0000,         55,          8,         17,         10, CALYX 
002.jpg,          3,          4,   206.8000,   208.6000,   198.2000,     6.7082,     6.7082,     6.7082,    83.2895,    -2.4733,     4.9399,     2.7939,     0.3468,     0.5429,     0.1951,     0.0499,     0.8180,     0.0038,     0.0057,     0.0308,          5,     5.6240,     0.0000,     2.7809,     2.7809,     0.0000,     0.0000,     0.0000,         57,         72,          3,          3, DEFECTOS 
002.jpg,          4,          1,   212.6000,   212.6000,   212.6000,     6.0828,     6.0828,     6.0828,    85.1075,     0.0000,     0.0000,     4.0242,     0.0000,     0.0000,     0.0000,     0.0000,     0.8337,     0.0000,     0.0000,     0.0440,          5,     5.6240,     0.0000,     2.7809,     2.7809,     0.0000,     0.0000,     0.0000,         25,         41,          3,          3, DEFECTOS 
002.jpg,          4,          2,   165.3077,   171.6923,   132.7692,     4.4721,     4.4721,     4.4721,    68.7942,    -8.9705,    19.3618,     5.5060,     1.8809,     4.3486,     0.1939,     0.2302,     0.6733,     0.0017,     0.0616,     0.0567,         13,    12.8440,     0.8086,     5.9073,     3.4754,     0.0000,     0.0000,     0.0000,         51,         33,          4,          6, DEFECTOS 
002.jpg,          4,          3,   216.6075,   218.5234,   155.0187,     1.4142,     1.4142,     1.4142,    85.7177,   -10.3749,    31.0826,     6.6324,     3.7029,     9.2421,     0.1699,     0.2962,     0.8605,     0.0118,     0.0907,     0.0718,        107,    55.1540,     0.9771,    26.6352,     5.6678,     0.0000,     0.0000,     0.0000,         57,         21,         26,          8, DEFECTOS 
