nombre_imagen,equivPxmmR1,equivPxmmR2,equivPxmmR3,equivPxmmR4,sumaAreaPxR1,sumaAreaPxR2,sumaAreaPxR3,sumaAreaPxR4,diametroPxR1,diametroPxR2,diametroPxR3,diametroPxR4,ejeMayorPxR1,ejeMayorPxR2,ejeMayorPxR3,ejeMayorPxR4,ejeMenorPxR1,ejeMenorPxR2,ejeMenorPxR3,ejeMenorPxR4,diametrommR1,diametrommR2,diametrommR3,diametrommR4,ejeMayormmR1,ejeMayormmR2,ejeMayormmR3,ejeMayormmR4,ejeMenormmR1,ejeMenormmR2,ejeMenormmR3,ejeMenormmR4,clasificacionSize
/home/usuario/OrangeResults/inputToLearn/001.jpg,0.3626,0.4872,0.4978,0.5019,30963,17352,15874,16587,198.5531,148.638,142.1668,145.3245,207.2483,153.7877,148.6458,149.4983,190.275,143.7278,136.0487,141.3746,71.99,72.4228,70.7719,72.9369,75.1426,74.932,73.9972,75.0317,68.9886,70.0304,67.7263,70.9545,grande
/home/usuario/OrangeResults/inputToLearn/002.jpg,0.3626,0.4872,0.4978,0.5019,30963,16269,15284,15709,198.5531,143.9248,139.4998,141.426,207.8224,148.3947,146.1249,146.205,189.7865,139.7404,133.2256,136.8862,71.99,70.1263,69.4443,70.9803,75.3508,72.3043,72.7423,73.3788,68.8115,68.0875,66.3209,68.7018,mediana
/home/usuario/OrangeResults/inputToLearn/003.jpg,0.3626,0.4872,0.4978,0.5019,29938,15426,14453,14837,195.2389,140.1463,135.6545,137.4447,199.027,146.5315,140.5058,143.6929,191.5816,134.153,131.0613,131.5533,70.7884,68.2853,67.53,68.9821,72.1618,71.3965,69.9451,72.118,69.4623,65.3651,65.2435,66.0253,mediana
/home/usuario/OrangeResults/inputToLearn/004.jpg,0.3626,0.4872,0.4978,0.5019,30582,15475,14999,15253,197.3277,140.3687,138.1931,139.3583,200.2122,146.7955,142.3579,143.3525,194.565,134.2878,134.2056,135.6261,71.5457,68.3937,68.7937,69.9425,72.5915,71.5251,70.8671,71.9472,70.544,65.4308,66.8087,68.0694,mediana
/home/usuario/OrangeResults/inputToLearn/012.jpg,0.3626,0.4872,0.4978,0.5019,33612,17698,16381,16813,206.8722,150.1126,144.4193,146.3112,211.248,157.862,149.4993,154.5181,202.6202,142.8467,139.5632,138.6329,75.0063,73.1413,71.8932,73.4321,76.5928,76.9172,74.4221,77.5511,73.4646,69.6011,69.4758,69.5785,grande
/home/usuario/OrangeResults/inputToLearn/017.jpg,0.3626,0.4872,0.4978,0.5019,30482,15931,15100,15434,197.0048,142.4218,138.6576,140.1827,204.7254,149.8943,145.3208,143.3269,189.7173,135.3817,132.3971,137.1722,71.4286,69.394,69.025,70.3563,74.2279,73.035,72.342,71.9343,68.7864,65.9638,65.9085,68.8454,mediana
/home/usuario/OrangeResults/inputToLearn/019.jpg,0.3626,0.4872,0.4978,0.5019,24034,12452,11553,12234,174.9315,125.9142,121.2837,124.8071,185.845,132.411,128.7942,133.2027,164.7476,119.9402,114.4117,117.0827,63.4254,61.3508,60.3761,62.6394,67.3824,64.5163,64.1149,66.8531,59.733,58.44,56.9552,58.7627,pequeña
/home/usuario/OrangeResults/inputToLearn/020.jpg,0.3626,0.4872,0.4978,0.5019,27283,15013,13835,14077,186.3808,138.2575,132.7225,133.8783,193.0083,145.6541,139.5279,140.1137,180.0772,131.3789,126.57,128.1335,67.5766,67.365,66.0705,67.1922,69.9796,70.9689,69.4583,70.3217,65.2911,64.0134,63.0077,64.3089,mediana
/home/usuario/OrangeResults/inputToLearn/022.jpg,0.3626,0.4872,0.4978,0.5019,25618,13126,12731,12773,180.6041,129.277,127.317,127.5268,189.5644,137.0034,134.1044,135.045,172.1546,122.058,121.0055,120.5725,65.4822,62.9893,63.3795,64.0044,68.7309,66.754,66.7584,67.7777,62.4186,59.4719,60.2376,60.5141,pequeña
/home/usuario/OrangeResults/inputToLearn/027.jpg,0.3626,0.4872,0.4978,0.5019,27813,14633,13887,14129,188.1824,136.4966,132.9717,134.1253,201.2499,144.1561,143.6235,144.1923,176.0737,129.3441,123.2051,124.8865,68.2299,66.507,66.1945,67.3162,72.9678,70.2391,71.4971,72.3687,63.8396,63.022,61.3326,62.6793,pequeña
/home/usuario/OrangeResults/inputToLearn/029.jpg,0.3626,0.4872,0.4978,0.5019,27171,14491,12938,13862,185.9978,135.8327,128.3479,132.852,194.8935,140.4322,132.1547,134.7297,178.1046,131.5299,125.7857,131.1691,67.4378,66.1835,63.8927,66.6771,70.6631,68.4246,65.7878,67.6195,64.5759,64.087,62.6173,65.8325,mediana
/home/usuario/OrangeResults/inputToLearn/031.jpg,0.3626,0.4872,0.4978,0.5019,31956,15824,15152,15040,201.7118,141.9427,138.8961,138.3818,206.0202,145.7916,143.2434,140.0031,197.6051,138.2614,134.7784,136.907,73.1352,69.1606,69.1437,69.4524,74.6974,71.0359,71.3079,70.2662,71.6463,67.3669,67.0939,68.7122,grande
